Recipe, Ingredients
Braised eggs with leek and za'atar,"['feta cheese', 'leeks', ""za'atar"", 'eggs', 'preserved lemons', 'vegetable stock', 'cumin seeds', 'baby spinach']"
Harissa and Manchego omelettes,"['limes', 'nigella seeds', 'onions', 'eggs', 'Manchego cheese', 'coriander sprigs', 'rose harissa']"
Courgette and ciabatta frittata,"['basil', 'Parmesan cheese', 'double cream', 'ground cumin', 'courgettes', 'eggs', 'ciabatta bread']"
Portobello mushrooms with brioche and a poached egg,"['basil', 'ground cinnamon', 'soured cream', 'eggs', 'chilli flakes', 'brioche bread', 'portobello mushrooms', 'flaked sea salt']"
Scrambled harissa tofu,"['avocados', 'coriander leaves', 'cucumbers', 'limes', 'nigella seeds', 'onions', 'sourdough bread', 'green chillies', 'silken tofu', 'rose harissa']"
Avocado and cucumber salad,"['avocados', 'coriander leaves', 'cucumbers', 'limes', 'nigella seeds', 'green chillies']"
Avocado butter on toast with tomato salsa,"['avocados', 'capers', 'dill', 'limes', 'tarragon', 'butter', 'cherry tomatoes', 'cumin seeds', 'sourdough bread']"
"Beetroot, caraway and goat's cheese bread","['caraway seeds', 'Parmesan cheese', 'soured cream', 'honey', 'nigella seeds', 'rolled oats', 'thyme', 'sunflower oil', 'pumpkin seeds', 'beetroots', 'wholemeal flour', 'soft goat cheese']"
"Cornbread with cheddar, feta and jalapeño","['spring onions', 'ground cayenne pepper', 'feta cheese', 'coriander leaves', 'corn on the cob', 'soured cream', 'ground cumin', 'nigella seeds', 'red onions', 'instant polenta', 'jalapeño chillies', 'mature cheddar cheese']"
"Pea, za'atar and feta fritters","['feta cheese', 'ricotta cheese', 'lemons', 'mint', ""za'atar"", 'eggs', 'sunflower oil', 'frozen peas']"
Iranian herb fritters,"['basil', 'coriander leaves', 'ground cumin', 'dill', 'breadcrumbs', 'eggs', 'sunflower oil', 'barberries', 'toasted walnuts']"
"Chilled cucumber, cauliflower and ginger soup","['cauliflower', 'fresh ginger', 'Greek yoghurt', 'dried mint', 'Lebanese cucumbers', 'flaked almonds', 'white pepper', 'mint sprigs']"
Beef tomato carpaccio with spring onion and ginger salsa,"['spring onions', 'fresh ginger', 'sherry vinegar', 'sunflower oil', 'green chillies', 'beef tomatoes', 'flaked sea salt', 'coriander sprigs']"
Tomato and cucumber raita,"['cucumbers', 'mint', 'Greek yoghurt', 'preserved lemons', 'cherry tomatoes', 'cumin seeds', 'green chillies']"
"Courgette, thyme and walnut salad","['basil', 'lemons', 'walnuts', 'courgettes', 'thyme sprigs']"
Tomato and bread salad with anchovies and capers,"['basil', 'capers', 'garlic', 'lemons', 'parsley', 'tomatoes', 'sourdough bread', 'canned anchovies in oil', 'Urfa black chilli flakes']"
Tomatoes with sumac onions and pine nuts,"['basil', 'sumac', 'banana shallots', 'mixed tomatoes', 'toasted pine nuts']"
Chopped salad with tahini and za'atar,"['spring onions', 'red peppers', 'tahini', 'tomatoes', ""za'atar"", 'Lebanese cucumbers', 'coriander sprigs']"
Gem lettuce with fridge-raid dressing,"['avocados', 'basil', 'coriander leaves', 'dill', 'fresh ginger', 'lemons', 'parsley', 'tahini', 'tarragon', 'green chillies', 'gem lettuce', 'toasted black sesame seeds']"
Cucumber and lamb's lettuce salad,"['coriander leaves', 'fresh ginger', 'mint', 'nigella seeds', 'yoghurt', ""lamb's lettuce"", 'baby cucumbers', 'flaked sea salt']"
"Watermelon, green apple and lime salad","['coriander leaves', 'lemongrass', 'limes', 'mint', 'watermelons', 'black mustard seeds', 'green-skinned apples', 'flaked sea salt']"
5-spice peach and raspberry salad,"['shallots', 'Chinese five-spice powder', 'maple syrup', 'peaches', 'apple cider vinegar', 'watercress', 'radicchio', 'raspberries']"
Burrata with chargrilled grapes and basil,"['fennel seeds', 'sherry vinegar', 'red basil', 'seedless red grapes', 'flaked sea salt', 'burrata cheese']"
Cauliflower 'tabbouleh',"['spring onions', 'ground allspice', 'cauliflower', 'dill', 'lemons', 'mint', 'parsley', 'pomegranate seeds']"
Spring onion and herb salad,"['spring onions', 'green peppers', 'fresh ginger', 'mint', 'nigella seeds', 'baby cucumbers', 'coriander sprigs']"
"Curried lentil, tomato and coconut soup","['tinned coconut milk', 'fresh ginger', 'red lentils', 'coconut oil', 'onions', 'chilli flakes', 'coriander sprigs', 'medium curry powder', 'tinned chopped tomatoes']"
"Courgette, pea and basil soup","['basil', 'feta cheese', 'garlic', 'lemons', 'courgettes', 'vegetable stock', 'frozen peas']"
"Pumpkin, saffron and orange soup","['saffron threads', 'coriander leaves', 'crème fraîche', 'maple syrup', 'onions', 'oranges', 'pumpkins', 'vegetable stock', 'chilli flakes', 'pumpkin seeds', 'rose harissa']"
Steamed courgettes with garlic and oregano,"['garlic', 'chicken stock', 'flaked sea salt', 'oregano', 'mixed courgettes']"
Crushed courgettes,"['dill', 'garlic', 'mint', 'thyme', 'courgettes', 'dried mint']"
Stuffed courgettes with pine nut salsa,"['Parmesan cheese', 'lemons', 'courgettes', 'cherry tomatoes', 'oregano', 'sourdough breadcrumbs', 'toasted pine nuts']"
Herby courgettes and peas and semolina porridge,"['semolina', 'basil', 'garlic', 'lemons', 'tarragon', 'courgettes', 'milk', 'pecorino cheese', 'frozen peas', 'toasted pine nuts']"
Roasted aubergine with anchovies and oregano,"['aubergines', 'parsley', 'oregano', 'canned anchovies in oil']"
Roasted aubergine with curried yoghurt,"['coriander seeds', 'aubergines', 'limes', 'groundnut oil', 'onions', 'turmeric', 'Greek yoghurt', 'cumin seeds', 'flaked almonds', 'pomegranate seeds', 'medium curry powder']"
"Grilled beef tomatoes with chilli, garlic and ginger","['garlic', 'fresh ginger', 'red chillies', 'black mustard seeds', 'beef tomatoes', 'flaked sea salt', 'coriander sprigs']"
Hot charred cherry tomatoes with cold yoghurt,"['lemons', 'Greek yoghurt', 'cherry tomatoes', 'cumin seeds', 'flaked sea salt', 'oregano', 'thyme sprigs', 'Urfa black chilli flakes']"
"Tomato, chard and spinach with toasted almonds","['spring onions', 'spinach', 'caraway seeds', 'dill', 'limes', 'mint', 'paprika', 'Swiss chard', 'tinned tomatoes', 'flaked almonds']"
"Fried broccoli and kale with garlic, cumin and lime","['broccoli', 'garlic', 'limes', 'mint', 'cumin seeds', 'curly kale', 'Urfa black chilli flakes']"
"Tenderstem broccoli / broccolini with soy sauce, garlic and peanuts","['garlic', 'fresh ginger', 'honey', 'groundnut oil', 'oranges', 'roasted salted peanuts', 'light soy sauce', 'tenderstem broccoli']"
Roast cabbage with tarragon and pecorino,"['lemons', 'tarragon', 'pecorino cheese', 'sweetheart cabbage']"
Mustard-marinated kale with asparagus,"['asparagus', 'dill', 'kale', 'maple syrup', 'tarragon', 'wholegrain mustard', 'sunflower seeds', 'pumpkin seeds', 'frozen edamame']"
"Roasted asparagus with almonds, capers and dill","['asparagus', 'dill', 'flaked almonds', 'baby capers']"
Cavolo nero with chorizo and preserved lemon,"['soured cream', 'preserved lemons', 'cavolo nero', 'sweet smoked paprika', 'cooking chorizo sausages']"
Quick okra with sweet and sour dressing,"['limes', 'maple syrup', 'groundnut oil', 'sesame oil', 'okra', 'red chillies', 'roasted salted peanuts', 'coriander sprigs']"
Garry's stir-fried cabbage with garlic and chilli,"['spring onions', 'garlic', 'limes', 'sunflower oil', 'red chillies', 'hispi cabbage']"
"Cauliflower, pomegranate and pistachio salad","['cauliflower', 'ground cumin', 'mint', 'onions', 'parsley', 'tarragon', 'pomegranates', 'toasted pistachio nuts']"
Mustardy cauliflower cheese,"['cauliflower', 'double cream', 'mustard powder', 'onions', 'parsley', 'cumin seeds', 'green chillies', 'black mustard seeds', 'white breadcrumbs', 'mature cheddar cheese', 'medium curry powder']"
Roasted whole cauliflower,"['cauliflower', 'lemons', 'flaked sea salt']"
Green tahini sauce,"['parsley', 'tahini', 'flaked sea salt']"
Curried egg and cauliflower salad,"['cauliflower', 'lemons', 'mayonnaise', 'onions', 'tarragon', 'Greek yoghurt', 'eggs', 'cumin seeds', 'Aleppo chilli flakes', 'mild curry powder']"
Chickpeas and Swiss chard with yoghurt,"['caraway seeds', 'carrots', 'ground cumin', 'lemons', 'onions', 'Swiss chard', 'Greek yoghurt', 'coriander sprigs', 'tinned chickpeas']"
Slow-cooked runner beans in tomato sauce,"['nutmeg', 'onions', 'tomato paste', 'tomatoes', 'vegetable stock', 'cumin seeds', 'runner beans', 'hot paprika', 'coriander sprigs']"
Tofu and French beans with chraimeh sauce,"['caraway seeds', 'ground cinnamon', 'ground cumin', 'garlic', 'limes', 'caster sugar', 'tomato paste', 'sunflower oil', 'French beans (haricots verts)', 'hot paprika', 'firm tofu', 'coriander sprigs']"
Avocado and broad bean mash,"['spring onions', 'avocados', 'broad beans', 'lemons']"
Butterbean mash with muhammara,"['red peppers', 'garlic', 'balsamic vinegar', 'walnuts', 'chilli flakes', 'sweet smoked paprika', 'tinned butterbeans', 'thyme sprigs']"
Two bean and two lime salad,"['kaffir lime leaves', 'limes', 'mint', 'French beans (haricots verts)', 'green chillies', 'black sesame seeds', 'frozen edamame', 'coriander sprigs']"
Mushrooms and chestnuts with za'atar,"['sage', 'shallots', 'tarragon', ""za'atar"", 'portobello mushrooms', 'packaged cooked chestnuts']"
Brussels sprouts with burnt butter and black garlic,"['Brussels sprouts', 'caraway seeds', 'tahini', 'thyme', 'butter', 'pumpkin seeds', 'black garlic']"
Roasted baby carrots with harissa and pomegranate,"['coriander leaves', 'honey', 'cumin seeds', 'baby carrots', 'pomegranate seeds', 'rose harissa']"
